word1	word2	pos	context1	context2	similarity
old	new	A	The situation was very old.	It seemed quite new to me.	0.158
smart	intelligent	A	The view was smart.	The experience was intelligent.	0.9199999999999999
hard	difficult	A	The view was hard.	The situation was very difficult.	0.877
happy	cheerful	A	It seemed quite happy to me.	The experience was cheerful.	0.9550000000000001
hard	easy	A	It seemed quite hard to me.	The view was easy.	0.095
fast	rapid	A	Everything felt fast today.	The situation was very rapid.	0.875
happy	glad	A	The situation was very happy.	The experience was glad.	0.917
short	long	A	Everything felt short today.	It seemed quite long to me.	0.123
stupid	dumb	A	The view was stupid.	It seemed quite dumb to me.	0.958
weird	strange	A	The experience was weird.	The view was strange.	0.893
wide	narrow	A	The situation was very wide.	It seemed quite narrow to me.	0.10300000000000001
bad	awful	A	The view was bad.	The view was awful.	0.842
easy	difficult	A	The view was easy.	Everything felt difficult today.	0.057999999999999996
bad	terrible	A	It seemed quite bad to me.	Everything felt terrible today.	0.778
hard	simple	A	Everything felt hard today.	The view was simple.	0.13799999999999998
smart	dumb	A	It seemed quite smart to me.	The experience was dumb.	0.05500000000000001
insane	crazy	A	The view was insane.	It seemed quite crazy to me.	0.9570000000000001
happy	mad	A	The situation was very happy.	It seemed quite mad to me.	0.095
large	huge	A	It seemed quite large to me.	The experience was huge.	0.9470000000000001
hard	tough	A	The view was hard.	It seemed quite tough to me.	0.805
new	fresh	A	Everything felt new today.	The view was fresh.	0.683
sharp	dull	A	Everything felt sharp today.	It seemed quite dull to me.	0.06
quick	rapid	A	The view was quick.	The view was rapid.	0.97
dumb	foolish	A	It seemed quite dumb to me.	It seemed quite foolish to me.	0.667
wonderful	terrific	A	The situation was very wonderful.	It seemed quite terrific to me.	0.8630000000000001
strange	odd	A	The view was strange.	The view was odd.	0.9019999999999999
happy	angry	A	The experience was happy.	The view was angry.	0.128
narrow	broad	A	The view was narrow.	Everything felt broad today.	0.118
simple	easy	A	The situation was very simple.	The experience was easy.	0.9400000000000001
old	fresh	A	It seemed quite old to me.	It seemed quite fresh to me.	0.087
apparent	obvious	A	The view was apparent.	Everything felt obvious today.	0.8470000000000001
inexpensive	cheap	A	Everything felt inexpensive today.	It seemed quite cheap to me.	0.8720000000000001
nice	generous	A	It seemed quite nice to me.	The experience was generous.	0.5
weird	normal	A	It seemed quite weird to me.	The view was normal.	0.072
weird	odd	A	The view was weird.	The view was odd.	0.9199999999999999
bad	immoral	A	The view was bad.	It seemed quite immoral to me.	0.762
sad	funny	A	The situation was very sad.	The situation was very funny.	0.095
wonderful	great	A	It seemed quite wonderful to me.	The view was great.	0.805
guilty	ashamed	A	The experience was guilty.	The experience was ashamed.	0.638
beautiful	wonderful	A	It seemed quite beautiful to me.	The situation was very wonderful.	0.65
confident	sure	A	Everything felt confident today.	It seemed quite sure to me.	0.827
dumb	dense	A	The situation was very dumb.	The experience was dense.	0.727
large	big	A	The situation was very large.	The view was big.	0.9550000000000001
nice	cruel	A	It seemed quite nice to me.	It seemed quite cruel to me.	0.067
impatient	anxious	A	The situation was very impatient.	Everything felt anxious today.	0.603
big	broad	A	Everything felt big today.	The experience was broad.	0.673
strong	proud	A	Everything felt strong today.	Everything felt proud today.	0.317
unnecessary	necessary	A	Everything felt unnecessary today.	The view was necessary.	0.063
restless	young	A	Everything felt restless today.	The view was young.	0.16
dumb	intelligent	A	Everything felt dumb today.	The situation was very intelligent.	0.075
bad	great	A	It seemed quite bad to me.	It seemed quite great to me.	0.034999999999999996
difficult	simple	A	Everything felt difficult today.	The experience was simple.	0.087
necessary	important	A	Everything felt necessary today.	The experience was important.	0.737
bad	terrific	A	Everything felt bad today.	The view was terrific.	0.065
mad	glad	A	The view was mad.	The experience was glad.	0.145
honest	guilty	A	The experience was honest.	The view was guilty.	0.118
easy	tough	A	The view was easy.	The situation was very tough.	0.052000000000000005
easy	flexible	A	It seemed quite easy to me.	The experience was flexible.	0.41
certain	sure	A	The experience was certain.	The view was sure.	0.842
essential	necessary	A	It seemed quite essential to me.	The experience was necessary.	0.897
different	normal	A	Everything felt different today.	The situation was very normal.	0.10800000000000001
sly	clever	A	Everything felt sly today.	The situation was very clever.	0.725
crucial	important	A	Everything felt crucial today.	The view was important.	0.882
harsh	cruel	A	The experience was harsh.	It seemed quite cruel to me.	0.818
childish	foolish	A	The view was childish.	It seemed quite foolish to me.	0.55
scarce	rare	A	The situation was very scarce.	Everything felt rare today.	0.917
friendly	generous	A	The situation was very friendly.	The view was generous.	0.5900000000000001
fragile	frigid	A	The experience was fragile.	The experience was frigid.	0.238
long	narrow	A	The situation was very long.	The experience was narrow.	0.357
big	heavy	A	The experience was big.	The experience was heavy.	0.618
rough	frigid	A	The view was rough.	Everything felt frigid today.	0.24700000000000003
bizarre	strange	A	The view was bizarre.	The situation was very strange.	0.9369999999999999
illegal	immoral	A	Everything felt illegal today.	The view was immoral.	0.42800000000000005
bad	guilty	A	The experience was bad.	Everything felt guilty today.	0.42000000000000004
modern	ancient	A	The situation was very modern.	The experience was ancient.	0.073
new	ancient	A	The experience was new.	Everything felt ancient today.	0.023
dull	funny	A	Everything felt dull today.	It seemed quite funny to me.	0.05500000000000001
happy	young	A	Everything felt happy today.	It seemed quite young to me.	0.2
easy	big	A	Everything felt easy today.	The experience was big.	0.11200000000000002
great	awful	A	It seemed quite great to me.	The situation was very awful.	0.11699999999999999
tiny	huge	A	It seemed quite tiny to me.	The view was huge.	0.06
polite	proper	A	Everything felt polite today.	It seemed quite proper to me.	0.763
modest	ashamed	A	Everything felt modest today.	It seemed quite ashamed to me.	0.265
exotic	rare	A	The experience was exotic.	The view was rare.	0.805
dumb	clever	A	The experience was dumb.	Everything felt clever today.	0.11699999999999999
delightful	wonderful	A	Everything felt delightful today.	Everything felt wonderful today.	0.865
noticeable	obvious	A	The view was noticeable.	It seemed quite obvious to me.	0.8480000000000001
afraid	anxious	A	The experience was afraid.	Everything felt anxious today.	0.507
formal	proper	A	Everything felt formal today.	The experience was proper.	0.8019999999999999
dreary	dull	A	The view was dreary.	Everything felt dull today.	0.825
delightful	cheerful	A	The view was delightful.	The experience was cheerful.	0.658
unhappy	mad	A	Everything felt unhappy today.	The situation was very mad.	0.595
sad	terrible	A	It seemed quite sad to me.	The experience was terrible.	0.54
sick	crazy	A	Everything felt sick today.	The situation was very crazy.	0.357
violent	angry	A	Everything felt violent today.	The situation was very angry.	0.6980000000000001
laden	heavy	A	The experience was laden.	The experience was heavy.	0.5900000000000001
dirty	cheap	A	The situation was very dirty.	The experience was cheap.	0.16
elastic	flexible	A	The experience was elastic.	The situation was very flexible.	0.778
hard	dense	A	The situation was very hard.	The situation was very dense.	0.5900000000000001
recent	new	A	Everything felt recent today.	Everything felt new today.	0.705
bold	proud	A	It seemed quite bold to me.	The situation was very proud.	0.397
sly	strange	A	The view was sly.	It seemed quite strange to me.	0.197
strange	sly	A	The experience was strange.	The situation was very sly.	0.207
dumb	rare	A	The situation was very dumb.	It seemed quite rare to me.	0.048
sly	tough	A	The experience was sly.	Everything felt tough today.	0.057999999999999996
terrific	mad	A	It seemed quite terrific to me.	Everything felt mad today.	0.04
modest	flexible	A	The situation was very modest.	The view was flexible.	0.098
fresh	wide	A	Everything felt fresh today.	The view was wide.	0.04
huge	dumb	A	The situation was very huge.	The situation was very dumb.	0.048
large	flexible	A	The view was large.	Everything felt flexible today.	0.048
dirty	narrow	A	Everything felt dirty today.	The view was narrow.	0.03
wife	husband	N	People often talk about the wife.	The husband is commonly found in nature.	0.22999999999999998
book	text	N	I saw a book yesterday at the park.	The text was very interesting to observe.	0.635
groom	bride	N	The groom is commonly found in nature.	The bride was very interesting to observe.	0.317
night	day	N	The night appeared suddenly.	The day was very interesting to observe.	0.188
south	north	N	The south appeared suddenly.	The north appeared suddenly.	0.22000000000000003
plane	airport	N	People often talk about the plane.	I saw a airport yesterday at the park.	0.365
uncle	aunt	N	The uncle is commonly found in nature.	The aunt appeared suddenly.	0.55
horse	mare	N	The horse was very interesting to observe.	People often talk about the mare.	0.833
bottom	top	N	The bottom appeared suddenly.	The top was very interesting to observe.	0.06999999999999999
friend	buddy	N	The friend is commonly found in nature.	The buddy was very interesting to observe.	0.8779999999999999
student	pupil	N	The student appeared suddenly.	The pupil was very interesting to observe.	0.9349999999999999
world	globe	N	People often talk about the world.	The globe appeared suddenly.	0.667
leg	arm	N	I saw a leg yesterday at the park.	People often talk about the arm.	0.288
plane	jet	N	The plane is commonly found in nature.	The jet appeared suddenly.	0.8099999999999999
woman	man	N	The woman appeared suddenly.	I saw a man yesterday at the park.	0.333
horse	colt	N	The horse appeared suddenly.	The colt was very interesting to observe.	0.7070000000000001
actress	actor	N	The actress is commonly found in nature.	The actor is commonly found in nature.	0.712
